batch_id	paper_id	author_batch_label	batch_date	library_batch	sequencing_platform	evidence_ids	verification_status	notes
B-LEGACY-001	P0008	NR	NR	NR	NR	E-P0008-002	unresolved	v1未显式建模批次
B-LEGACY-002	P0008	NR	NR	NR	NR	E-P0008-002|E-P0008-003	unresolved	v1未显式建模批次
B-LEGACY-003	P0008	NR	NR	NR	NR	E-P0008-002|E-P0008-003	unresolved	v1未显式建模批次
B-LEGACY-004	P0008	NR	NR	NR	NR	E-P0008-002|E-P0008-003	unresolved	v1未显式建模批次
B-LEGACY-005	P0008	NR	NR	NR	NR	E-P0008-002|E-P0008-003	unresolved	v1未显式建模批次
B-LEGACY-006	P0008	NR	NR	NR	NR	E-P0008-002|E-P0008-003	unresolved	v1未显式建模批次
B-LEGACY-007	P0008	NR	NR	NR	NR	E-P0008-002|E-P0008-003	unresolved	v1未显式建模批次
B-LEGACY-008	P0008	NR	NR	NR	NR	E-P0008-002|E-P0008-003	unresolved	v1未显式建模批次
B-LEGACY-009	P0008	NR	NR	NR	NR	E-P0008-004	unresolved	v1未显式建模批次
B-LEGACY-010	P0008	NR	NR	NR	NR	E-P0008-004	unresolved	v1未显式建模批次
B-P0008-GEO-001	P0008	NR	NR	NR	Illumina HiSeq 2000	E-P0008-008	unresolved	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-002	P0008	NR	NR	NR	Illumina HiSeq 2000	E-P0008-008	unresolved	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-003	P0008	NR	NR	NR	Illumina HiSeq 2000	E-P0008-008	unresolved	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-004	P0008	NR	NR	NR	Illumina HiSeq 2000	E-P0008-008	unresolved	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-005	P0008	NR	NR	NR	Illumina HiSeq 2000	E-P0008-008	unresolved	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-006	P0008	NR	NR	NR	Illumina HiSeq 2000	E-P0008-008	unresolved	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-007	P0008	NR	NR	NR	Illumina HiSeq 2000	E-P0008-008	unresolved	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-008	P0008	2015-06-09	2015-06-09	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-009	P0008	2015-06-09	2015-06-09	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-010	P0008	2015-06-09	2015-06-09	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-011	P0008	2015-06-09	2015-06-09	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
B-P0008-GEO-012	P0008	2015-06-09	2015-06-09	NR	Illumina HiSeq 2000	E-P0008-008	candidate	日期来自原始alias，仅作为候选批次，不等同于已验证实验批次
